ID|grapheme|phoneme
00068593-cd02-40ad-92d5-73b1a66101e2|সেথ অর্থ কি?|s_1 e t̪ʰ_2 ɔ_1 r t̪ t̪ʰ o_2 k_1 i_2
0008e9e2-6512-4659-af57-5a4fe9925395|কর্মবেপাগ্‌|k_1 ɔ r m o b e p a g_2
000b3477-e845-497b-ac0e-eb821a9ff86d|তাড়াহুড়ো করে স্নান সেরে সবাই মিলে ছাদে গেলাম।|t̪_1 a ɽ a h u ɽ o_2 k_1 o r e_2 s_1 n a n_2 ʃ_1 e r e_2 ʃ_1 ɔ b a i̯_2 m_1 i l e_2 cʰ_1 a d̪ e_2 g_1 e l a m_2
000d99e6-f27b-4b6d-881c-529d7c41818e|ময়ুখমালী তে ভেটকী মাছ পাওয়া যায়।|m_1 o ʲ u kʰ m a l i_2 t̪_1 e_2 bʰ_1 e t k i_2 m_1 a cʰ_2 p_1 a o̯ ʷ a_2 ɟ_1 a ʲ_2
001177c9-0149-4867-9d11-ef6e9921d0fb|কফিতে দুধ মিক্সচার করো|k_1 ɔ pʰ i t̪ e_2 d̪_1 u d̪ʰ_2 m_1 i k s o c a r_2 k_1 ɔ r o_2
001318f0-17f4-431f-84d9-6381f9a38e27|এক প্রকার খাবারের নাম পিবিরা|æ_1 k_2 p_1 r o k a r_2 kʰ_1 a b a r e r_2 n_1 a m_2 p_1 i b i r a_2
0013927d-6c44-407f-9dc7-5dd849a75341|পক্ষপাতদুষ্টতা ভালো না।|p_1 o k kʰ o p a t̪ d̪ u ʃ t o t̪ a_2 bʰ_1 a l o_2 n_1 a_2
001d305c-2927-41c6-b5d7-d40f8a3ed55a|নোল শব্দের অর্থ কি?|n_1 o l_2 ʃ_1 ɔ b d̪ e r_2 ɔ_1 r t̪ t̪ʰ o_2 k_1 i_2
0021403a-4008-4290-9b75-829940b13367|আসকে আমার মন ভালো নেই।|a_1 ʃ k e_2 a_1 m a r_2 m_1 o n_2 bʰ_1 a l o_2 n_1 e i̯_2
00287e1d-f3fa-4cf2-87f2-8a9501fd894b|ফ্রুক্টোজ বোতলজাত করো|pʰ_1 r u k t o ɟ_2 b_1 o t̪ o l ɟ a t̪ o_2 k_1 ɔ r o_2
0028b00f-c1c4-4b95-bb76-2302d38f985e|এবারও শূণ্য রানে আউটও হয়েছে।|e_1 b a r o_2 ʃ_1 u n n o_2 r_1 a n e_2 a_1 u̯ t o_2 h_1 e ʲ e cʰ e_2
003bcfeb-4de9-4e87-9600-0df6f09f8932|কমনওয়েলথ কামনাপীড়িত অতিদ্রুত|k_1 ɔ m ɔ n o̯ ʲ e l t̪ʰ_2 k_1 a m o n a p i ɽ i t̪ o_2 ɔ_1 t̪ i d̪ r u t̪ o_2
